             Time	Speed1	Speed2	Speed3	Temp
01-Jan-2006 00:00	7.7114	6.3795	5.8906	-11
01-Jan-2006 01:00	7.7114	6.3095	6.9781	-10
01-Jan-2006 02:00	8.5161	6.968	8.2911	-11
01-Jan-2006 03:00	7.7114	9.0088	8.7914	-10
01-Jan-2006 04:00	6.1692	5.1898	5.5566	-10
01-Jan-2006 05:00	6.1692	4.4856	4.714	-11
01-Jan-2006 06:00	6.9738	6.8065	8.2866	-11
01-Jan-2006 07:00	7.7114	8.2027	7.1337	-11
01-Jan-2006 08:00	8.5161	9.4792	9.277	-11
01-Jan-2006 09:00	6.1692	6.2238	6.388	-10
01-Jan-2006 10:00	5.4315	6.2943	5.967	-10
01-Jan-2006 11:00	4.6269	6.2967	4.3646	-10
01-Jan-2006 12:00	4.6269	3.3217	3.9636	-10
01-Jan-2006 13:00	3.8892	2.7811	3.8451	-10
01-Jan-2006 14:00	3.8892	4.8217	4.0798	-10
01-Jan-2006 15:00	3.0846	4.4875	2.5479	-9
01-Jan-2006 16:00	0.0153	1.6959	1.5311	-9
01-Jan-2006 17:00	2.347	2.4495	2.3291	-9
01-Jan-2006 18:00	2.347	3.3704	2.0765	-9
01-Jan-2006 19:00	1.5423	0.8568	0.768	-9
01-Jan-2006 20:00	0.0655	1.4824	1.0281	-9
01-Jan-2006 21:00	0.4852	0.8868	2.1547	-9
01-Jan-2006 22:00	1.5423	0.1	2.5778	-9
01-Jan-2006 23:00	2.347	2.5445	1.5102	-9
02-Jan-2006 00:00	3.0846	1.9521	3.5277	-9
02-Jan-2006 01:00	1.5423	1.2483	0.4906	-8
02-Jan-2006 02:00	3.8892	4.4185	3.6088	-8
02-Jan-2006 03:00	0.9246	1.4281	0.1	-8
02-Jan-2006 04:00	1.5423	2.2017	0.9319	-7
02-Jan-2006 05:00	0.9907	0.7652	2.6299	-7
02-Jan-2006 06:00	0.1529	0.5754	0.1	-7
02-Jan-2006 07:00	0.2677	0.1	0.1	-7
02-Jan-2006 08:00	2.347	1.5035	2.6608	-6
02-Jan-2006 09:00	1.5423	0.0414	2.0353	-6
02-Jan-2006 10:00	0.1959	1.2535	0.1	-5
02-Jan-2006 11:00	0.3678	1.2913	1.801	-4
02-Jan-2006 12:00	0.33	1.1411	0.1	-4
02-Jan-2006 13:00	2.347	3.7075	1.4369	-4
02-Jan-2006 14:00	4.6269	3.3907	4.2457	-3
02-Jan-2006 15:00	3.8892	4.922	4.5424	-3
02-Jan-2006 16:00	6.1692	6.1806	6.0435	-3
02-Jan-2006 17:00	6.1692	5.6994	7.9986	-4
02-Jan-2006 18:00	4.6269	2.9506	3.3544	-4
02-Jan-2006 19:00	5.4315	6.2055	4.7887	-4
02-Jan-2006 20:00	6.9738	6.4222	6.6147	-4
02-Jan-2006 21:00	5.4315	3.7362	3.9261	-4
02-Jan-2006 22:00	7.7114	8.2485	6.6388	-5
02-Jan-2006 23:00	7.7114	7.0929	6.1206	-6
03-Jan-2006 00:00	6.9738	8.6947	7.485	-8
03-Jan-2006 01:00	9.2537	10.1601	8.4965	-8
03-Jan-2006 02:00	8.5161	8.806	7.0497	-8
03-Jan-2006 03:00	8.5161	7.8199	7.8644	-8
03-Jan-2006 04:00	7.7114	8.1425	8.7469	-8
03-Jan-2006 05:00	8.5161	9.5819	7.4026	-8
03-Jan-2006 06:00	7.7114	7.9637	8.442	-8
03-Jan-2006 07:00	9.2537	9.0544	8.9062	-9
03-Jan-2006 08:00	12.3383	12.1353	10.7111	-10
03-Jan-2006 09:00	10.796	12.2859	12.0651	-10
03-Jan-2006 10:00	9.2537	10.3278	10.6727	-9
03-Jan-2006 11:00	9.2537	8.0277	7.7095	-8
03-Jan-2006 12:00	10.0584	11.439	8.4922	-8
03-Jan-2006 13:00	10.0584	9.6964	9.1045	-7
03-Jan-2006 14:00	8.5161	7.671	9.1772	-7
03-Jan-2006 15:00	6.9738	6.4478	7.5633	-6
03-Jan-2006 16:00	8.5161	10.0799	9.6356	-6
03-Jan-2006 17:00	3.0846	2.6421	4.8663	-6
03-Jan-2006 18:00	5.4315	4.77	5.6552	-7
03-Jan-2006 19:00	4.6269	5.1851	3.9287	-8
03-Jan-2006 20:00	5.4315	5.4523	5.3596	-8
03-Jan-2006 21:00	5.4315	5.975	5.049	-8
03-Jan-2006 22:00	6.1692	6.9203	5.5511	-9
03-Jan-2006 23:00	5.4315	5.2307	4.6433	-9
04-Jan-2006 00:00	6.1692	7.6341	4.4022	-9
04-Jan-2006 01:00	3.8892	5.0948	2.466	-10
04-Jan-2006 02:00	5.4315	4.4852	5.649	-10
04-Jan-2006 03:00	3.8892	4.5184	4.6484	-10
04-Jan-2006 04:00	5.4315	5.0259	4.7182	-10
04-Jan-2006 05:00	4.6269	3.8673	5.6276	-10
04-Jan-2006 06:00	5.4315	6.3738	5.5012	-9
04-Jan-2006 07:00	3.8892	2.865	5.6201	-10
04-Jan-2006 08:00	3.8892	4.5882	3.4505	-9
04-Jan-2006 09:00	5.4315	4.0668	4.7622	-9
04-Jan-2006 10:00	6.9738	5.2255	8.0247	-10
04-Jan-2006 11:00	6.9738	6.8225	5.7227	-9
04-Jan-2006 12:00	5.4315	3.6468	6.6302	-8
04-Jan-2006 13:00	5.4315	5.3952	5.6606	-7
04-Jan-2006 14:00	6.1692	6.9132	4.5497	-7
04-Jan-2006 15:00	7.7114	8.003	7.5111	-7
04-Jan-2006 16:00	6.1692	7.3894	6.1847	-6
